F1,F2,ceiling,filename
300,1031,4500,u_pushem_2_RI20160704UVG_1
349,1038,4500,u_shude_2_RI20160704UVG_1
375,1098,4500,u_shude_3_RI20160704UVG_1
396,1153,4500,u_shude_4_RI20160704UVG_1
362,1089,4500,u_shude_RI20160704UVG_1
340,1042,4500,u_xuda-edem_RI20160704UVG_1
292,996,4500,u_xuda_3_RI20160705UVG_1
351,922,4500,u_xuda_4_RI20160705UVG_1
275,1178,4500,u_xuda_5_RI20160705UVG_1
336,862,4500,u_xuda_RI20160704UVG_1
317,1422,4500,U_kushe_2_RI20160704UVG_2
290,1710,4500,U_kushe_RI20160704UVG_2
319,935,4500,U_kushel_1_RI20160705UVG_1
327,1467,4500,U_kushel_2_RI20160705UVG_1
387,1879,4500,U_kushel_3_RI20160705UVG_1
330,1398,4500,U_kutem_1_RI20160704UVG_2
336,1131,4500,U_kutem_2_RI20160704UVG_2
334,1206,4500,U_kutem_RI20160704UVG_2
263,1407,4500,U_puksem_1_RI20160704UVG_1
282,1330,4500,U_puksem_2_RI20160704UVG_1
402,1890,4500,U_pushel_1_RI20160701UVG_2
388,1948,4500,U_pushel_2_RI20160701UVG_2
332,1513,4500,U_sukse_1_RI20160704UVG_1
321,1464,4500,U_sukse_2_RI20160704UVG_1
346,1527,4500,U_sukse_4_RI20160701UVG_1
